host_response_time,host_response_rate,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,property_type,room_type,has_availability,instant_bookable,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d
0,1,0,1.0,1,1,0,1,1,0,1.0,1.0,0,1.0,2,2.0,3.0,730,3.0,730.0,0,6,36,259,22.0,1
0,1,0,1.0,1,1,1,1,1,0,1.0,1.0,1,3.5,5,2.3,3.0,10,3.0,10.0,0,8,8,8,1.0,0
1,1,1,,1,1,1,1,1,0,1.0,1.0,1,2.0,4,2.3,2.0,365,2.0,1125.0,1,36,60,233,27.0,0
1,1,1,1.0,1,1,0,1,1,1,3.0,3.0,1,2.0,3,2.3,2.0,1125,2.0,1125.0,0,36,66,316,15.0,0
0,0,0,1.0,1,1,0,0,1,0,1.0,1.0,0,1.0,1,1.0,30.0,180,30.0,180.0,1,60,90,365,1.0,0
0,1,0,1.0,1,1,0,1,1,0,1.0,3.0,0,1.0,1,2.0,3.0,60,3.0,60.0,0,19,49,49,5.0,1
1,0,1,,1,1,0,1,1,1,6.1,8.6,0,1.0,1,2.0,30.0,365,30.0,1125.0,1,56,86,361,3.0,0
0,1,1,1.0,1,1,0,1,1,0,1.0,1.0,1,2.0,2,3.0,3.0,365,3.0,365.0,1,48,78,185,27.0,1
1,1,1,1.0,1,1,0,1,1,1,5.0,5.0,0,1.0,1,2.0,2.0,1125,2.5,1125.0,1,48,78,346,15.0,0
0,1,1,1.0,1,1,0,0,1,1,1.0,1.0,0,1.0,1,1.0,30.0,180,30.0,1125.0,1,60,84,146,4.0,0
1,1,1,1.0,1,1,0,1,1,0,1.0,2.0,1,2.5,3,4.0,1.0,1125,1.0,1125.0,1,36,62,303,36.0,1
1,1,1,1.0,1,1,0,1,1,1,4.0,4.0,1,2.0,3,3.0,3.0,1125,2.5,1125.0,1,35,43,267,16.0,2
1,1,1,0.0,1,1,0,1,1,0,1.0,2.0,0,1.0,2,2.0,1.0,7,1.0,1125.0,1,44,74,164,48.0,0
1,1,1,1.0,1,1,1,1,1,1,5.0,5.0,1,2.5,3,4.0,2.0,1125,2.5,1125.0,0,0,0,181,10.0,0
1,1,1,1.0,1,0,0,1,1,0,2.0,2.0,0,1.0,1,1.0,30.0,1125,30.0,1125.0,0,39,69,344,1.0,0
1,0,1,,1,1,0,1,1,1,6.1,8.6,0,2.0,2,3.0,3.0,365,2.2,1125.0,1,39,39,95,4.0,0
1,1,1,1.0,1,1,0,1,1,0,1.0,1.0,0,1.0,1,1.0,3.0,14,3.0,1125.0,1,50,70,314,12.0,1
0,1,0,1.0,1,1,0,1,1,0,2.0,3.0,0,1.0,1,2.0,30.0,1125,30.0,1125.0,0,7,37,217,3.0,1
1,0,1,,1,1,0,1,1,1,6.1,8.6,0,2.0,3,4.0,30.0,365,30.0,1125.0,0,3,27,225,0.0,0
0,0,0,1.0,1,1,0,1,1,0,3.0,4.0,0,1.0,2,2.0,1.0,8,1.0,1125.0,0,43,73,73,15.6,5
1,1,0,1.0,1,1,0,1,1,0,16.0,19.0,1,1.0,3,4.0,2.0,30,2.0,1125.0,1,35,50,290,28.0,3
0,1,1,1.0,1,1,1,1,1,0,1.0,1.0,1,2.0,3,4.0,30.0,125,30.0,125.0,1,47,77,243,2.0,0
1,1,1,1.0,1,1,0,1,1,0,1.0,2.0,1,1.0,2,4.0,1.0,1125,1.0,1125.0,1,55,85,353,52.0,0
1,0,1,,1,1,0,1,1,1,6.1,8.6,0,1.0,1,2.0,30.0,365,30.0,1125.0,0,16,46,321,2.0,0
0,0,0,1.0,1,1,1,1,1,0,3.0,4.0,1,1.0,2,2.0,1.0,7,1.0,1125.0,1,35,65,65,15.6,5
1,1,0,1.0,1,1,0,0,1,1,5.0,5.0,0,1.0,1,1.0,1.0,1125,1.0,1125.0,1,53,80,316,29.0,0
1,1,1,1.0,1,1,0,0,1,0,1.0,1.0,0,1.0,1,1.0,1.0,21,1.0,1125.0,1,39,69,69,15.6,1
1,1,1,1.0,1,1,0,1,1,1,5.0,5.0,1,2.0,3,3.0,2.0,1125,2.4,1125.0,0,0,0,187,3.0,0
1,1,1,,1,0,0,1,1,1,1.0,2.0,0,1.0,1,2.0,2.0,730,2.0,730.0,0,27,43,128,15.6,1
0,0,0,1.0,1,1,0,1,1,0,1.0,1.0,0,1.0,1,3.0,1.0,1125,1.0,1125.0,0,40,63,146,46.0,4
1,1,1,,1,1,0,1,1,0,1.0,1.0,0,1.0,1,1.0,2.0,14,2.0,14.0,0,9,26,108,30.0,2
1,1,1,1.0,1,1,1,1,1,1,1.0,1.0,1,2.5,3,3.0,1.0,1125,1.0,1125.0,1,35,65,288,15.6,1
1,0,1,1.0,1,1,0,1,1,1,6.1,8.6,1,2.5,3,4.0,1.0,1125,2.3,425.7,1,35,51,228,8.0,1
1,0,1,1.0,1,1,1,1,1,1,6.1,8.6,0,3.0,4,2.3,1.0,1125,1.8,661.5,1,25,43,151,5.0,1
1,0,1,1.0,1,1,0,1,1,1,6.1,8.6,1,2.0,2,3.0,1.0,1125,2.7,169.5,1,38,68,321,7.0,0
1,0,1,1.0,1,1,0,1,1,1,6.1,8.6,1,2.5,3,4.0,1.0,1125,2.5,319.4,1,29,45,273,4.0,0
