host_response_time,host_response_rate,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,property_type,room_type,has_availability,instant_bookable,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d
1,1,1,1.0,1,1,0,1,1,1,2.0,2.0,0,1.0,1,1.0,29.0,120,29.0,1125.0,1,51,52,52,2.0,0
1,1,0,1.0,1,1,0,1,1,1,10.0,12.0,0,2.0,2,2.0,2.0,365,2.3,1125.0,1,38,62,289,18.0,4
1,1,0,1.0,1,1,0,1,1,0,1.0,1.0,1,2.5,3,4.0,30.0,60,30.0,60.0,1,60,84,359,7.0,0
1,1,1,1.0,1,0,1,1,1,1,2.0,2.0,0,2.0,4,2.3,3.0,35,3.0,1125.0,1,30,60,314,33.0,4
1,1,1,1.0,1,1,0,1,1,0,1.0,1.0,0,1.0,1,1.0,2.0,1125,2.0,1125.0,1,48,68,149,41.0,5
1,1,1,1.0,1,0,1,1,1,0,1.0,1.0,0,2.0,2,2.0,2.0,30,2.0,1125.0,1,45,75,318,8.0,1
0,0,1,1.0,1,1,1,1,1,0,2.0,3.0,0,1.0,2,2.0,30.0,95,30.0,95.0,0,22,51,274,2.0,0
1,1,1,1.0,1,1,0,1,1,0,1.0,1.0,0,1.0,1,1.0,1.0,1125,2.0,1125.0,1,46,73,163,15.6,1
1,0,1,1.0,1,1,0,1,1,0,22.0,38.0,1,3.0,3,3.0,4.0,1125,5.3,1125.0,1,56,86,101,4.0,0
0,1,0,1.0,1,0,0,1,1,0,1.0,1.0,1,2.0,3,4.0,28.0,90,28.0,90.0,1,53,83,173,0.0,0
1,1,1,1.0,1,1,1,1,1,1,1.0,2.0,0,1.0,1,1.0,1.0,1125,1.0,1125.0,0,0,26,301,20.0,1
1,0,0,1.0,1,0,0,1,1,1,6.1,8.6,0,1.0,1,2.0,3.0,1125,3.0,1125.0,0,33,58,310,19.0,3
0,0,0,1.0,1,1,0,1,1,0,1.0,1.0,0,1.0,1,2.0,3.0,30,3.0,30.0,0,29,59,149,9.0,1
1,0,1,1.0,1,1,1,1,1,1,6.1,8.6,0,1.0,1,1.0,1.0,1125,3.0,62.2,1,55,85,360,12.0,1
1,0,1,1.0,1,1,1,1,1,1,6.1,8.6,1,2.0,3,3.0,1.0,1125,2.9,100.0,1,46,76,336,8.0,1
1,1,1,0.0,1,0,0,1,1,1,1.0,1.0,1,2.5,3,3.0,2.0,90,2.0,1125.0,1,37,67,157,26.0,2
1,0,1,1.0,1,0,0,1,1,0,1.0,1.0,1,2.5,3,2.0,1.0,1125,1.0,1125.0,0,0,0,18,52.0,0
1,1,1,1.0,1,1,0,1,1,1,4.0,4.0,0,1.0,1,2.0,1.0,1125,1.0,1125.0,1,35,56,281,54.0,1
1,0,1,1.0,1,1,0,1,1,1,6.1,8.6,1,3.5,3,3.0,1.0,1125,2.8,177.5,1,40,62,323,14.0,0
1,1,1,1.0,1,1,1,1,1,1,4.0,4.0,0,2.0,2,2.0,3.0,1125,2.9,1125.0,1,46,48,79,7.0,0
1,1,1,1.0,1,1,0,1,1,0,2.0,2.0,0,1.0,2,4.0,2.0,30,2.0,30.0,1,44,71,230,48.0,4
1,1,1,1.0,1,1,0,1,1,0,2.0,2.0,0,1.0,1,3.0,28.0,365,28.0,1125.0,0,2,32,307,7.0,0
1,0,1,1.0,1,1,1,1,1,1,6.1,8.6,1,2.0,3,3.0,1.0,1125,1.0,1125.0,0,1,1,1,4.0,1
1,0,1,1.0,1,1,1,1,1,0,22.0,38.0,1,2.0,3,3.0,3.0,1125,5.0,1125.0,1,26,26,206,4.0,1
1,1,1,1.0,1,1,0,1,1,1,2.0,2.0,0,2.1,1,2.6,1.0,14,1.0,14.0,0,0,0,0,6.0,0
1,1,1,1.0,1,1,0,1,1,1,1.0,1.0,0,1.0,1,2.0,2.0,60,3.0,1125.0,0,10,10,10,17.0,3
0,1,0,1.0,1,1,1,1,1,0,1.0,3.0,0,2.0,3,3.0,27.0,730,27.0,730.0,1,58,84,206,1.0,0
0,0,0,0.0,1,1,0,1,1,0,2.0,2.0,0,1.0,1,2.0,2.0,31,2.0,1125.0,1,52,82,255,27.0,2
1,1,1,1.0,1,1,0,1,1,0,4.0,5.0,1,2.5,3,4.0,2.0,730,2.0,730.0,0,27,45,45,6.0,0
1,1,1,1.0,1,1,1,1,1,0,2.0,2.0,0,1.0,1,2.0,1.0,1125,1.6,1125.0,1,56,83,355,15.6,5
1,1,1,1.0,1,1,0,1,1,1,1.0,1.0,0,1.0,1,1.0,3.0,20,3.0,1125.0,0,21,51,104,58.0,4
1,0,1,1.0,1,1,1,1,1,0,22.0,38.0,1,3.0,4,4.0,3.0,1125,5.3,1125.0,1,32,54,244,5.0,0
1,1,1,1.0,1,1,0,1,1,0,1.0,1.0,0,1.0,1,2.0,28.0,1125,22.7,1125.0,0,18,18,262,29.0,0
1,1,1,1.0,1,0,0,1,1,1,1.0,1.0,0,1.0,1,2.3,2.0,28,2.0,1125.0,1,53,83,83,12.0,1
1,1,1,1.0,1,1,0,1,1,0,1.0,1.0,0,2.5,2,2.0,1.0,30,10.1,1125.0,0,20,50,216,15.0,1
1,1,0,1.0,1,0,0,1,1,1,2.0,2.0,0,1.0,1,1.0,30.0,60,30.0,60.0,0,2,2,144,4.0,0
1,1,0,1.0,1,1,0,1,1,0,1.0,2.0,0,1.0,1,2.0,2.0,21,2.0,21.0,1,44,69,322,30.0,2
1,1,0,1.0,1,1,0,1,1,0,3.0,3.0,0,1.0,1,1.0,5.0,99,5.0,99.0,1,18,18,18,7.0,1
1,1,1,1.0,1,1,1,1,1,0,1.0,1.0,1,2.5,3,2.3,3.0,60,3.0,1125.0,0,11,40,77,22.0,2
1,1,0,1.0,1,0,0,1,1,0,1.0,2.0,0,1.0,1,1.0,2.0,365,2.0,365.0,0,0,0,93,20.0,2
1,1,1,0.0,1,0,0,1,1,0,1.0,2.0,1,1.0,2,4.0,1.0,14,1.0,1125.0,0,0,0,74,30.0,0
1,0,1,1.0,1,1,0,1,1,1,6.1,8.6,0,2.0,2,3.0,1.0,1125,19.2,447.5,1,21,31,244,0.0,0
1,0,1,1.0,1,1,1,1,1,1,6.1,8.6,1,2.5,3,4.0,1.0,1125,25.1,226.8,1,59,89,333,0.0,0
1,0,1,1.0,1,1,0,1,1,1,6.1,8.6,0,1.5,1,1.0,1.0,1125,19.4,439.8,0,45,52,289,0.0,0
1,0,1,1.0,1,1,0,1,1,1,6.1,8.6,1,3.0,3,4.0,27.0,1125,29.1,375.6,1,34,64,308,1.0,0
1,0,1,1.0,1,1,0,1,1,1,6.1,8.6,0,2.5,2,2.0,27.0,1125,28.1,727.8,0,0,0,158,1.0,0
1,0,1,1.0,1,1,0,1,1,1,6.1,8.6,0,2.0,2,3.0,1.0,1125,1.3,1115.1,0,0,0,6,0.0,0
1,1,1,,1,1,0,1,1,1,14.0,22.0,0,1.0,2,2.0,2.0,45,5.8,1125.0,0,0,0,165,35.0,1
1,1,1,1.0,1,1,1,1,1,0,4.0,4.0,0,1.0,1,1.0,2.0,1125,2.1,1125.0,1,43,67,322,21.0,2
1,1,1,1.0,1,1,0,1,1,0,9.0,13.0,0,1.0,1,2.3,27.0,365,27.0,1125.0,1,60,90,112,1.0,0
0,1,0,,1,1,0,1,1,0,1.0,2.0,1,2.5,3,3.0,30.0,90,30.0,90.0,0,0,0,231,2.0,0
1,1,1,1.0,1,1,0,1,1,0,1.0,1.0,0,1.0,1,1.0,2.0,7,2.0,1125.0,1,29,50,131,30.0,4
0,0,0,1.0,1,1,0,1,1,1,3.0,23.0,1,1.0,2,3.0,30.0,65,30.0,182.4,1,59,89,325,0.0,0
1,1,1,1.0,1,1,0,1,1,1,3.0,4.0,0,1.0,2,2.0,3.0,180,4.6,1125.0,1,47,77,167,37.0,0
0,1,0,1.0,1,1,1,1,1,0,1.0,1.0,1,3.0,4,2.3,30.0,120,30.0,120.0,0,31,31,254,1.0,0
1,1,1,1.0,1,0,0,1,1,1,3.0,4.0,0,1.0,1,2.0,3.0,365,3.0,365.0,0,0,0,0,19.0,2
1,1,1,1.0,1,1,1,1,1,1,1.0,1.0,1,2.5,4,4.0,2.0,180,2.0,1125.0,0,17,17,125,8.0,2
0,0,1,1.0,1,1,0,1,1,1,1.0,2.0,1,2.1,3,2.6,1.0,3,1.0,1125.0,0,0,0,0,8.0,0
1,1,1,1.0,1,1,0,1,1,0,1.0,1.0,0,1.0,2,2.0,1.0,28,1.1,28.0,1,33,33,33,52.0,1
1,1,1,1.0,1,1,0,1,1,1,1.0,2.0,0,1.0,1,2.0,2.0,1125,2.0,1125.0,1,31,31,293,38.0,2
1,1,1,1.0,1,1,0,1,1,0,3.0,5.0,0,1.0,1,1.0,30.0,365,30.0,1125.0,1,60,90,328,5.0,0
1,1,1,,1,1,0,1,1,1,1.0,2.0,0,2.0,2,2.0,3.0,1125,3.0,1125.0,1,56,86,255,19.0,1
1,1,1,1.0,1,0,0,1,1,1,3.0,3.0,1,2.1,3,2.6,30.0,1125,30.0,1125.0,0,0,0,0,0.0,0
1,1,1,1.0,1,1,0,1,1,0,3.0,3.0,0,1.5,2,3.0,3.0,1125,3.0,1125.0,1,53,83,355,14.0,1
1,1,0,1.0,1,1,0,0,1,0,1.0,2.0,0,1.0,2,2.0,30.0,120,30.0,120.0,1,57,87,87,0.0,0
1,1,1,1.0,1,1,0,1,1,1,3.0,3.0,0,1.0,0,3.0,3.0,1125,3.0,1125.0,1,44,74,346,33.0,1
1,0,0,1.0,1,0,0,1,1,1,6.1,8.6,0,1.0,2,2.0,30.0,1125,30.0,1125.0,0,39,69,344,4.0,1
1,0,1,1.0,1,1,1,1,1,0,22.0,38.0,0,1.0,1,1.0,3.0,1125,5.4,1125.0,1,54,84,203,4.0,0
0,0,0,1.0,0,1,1,1,1,0,2.0,3.0,0,1.6,5,2.3,30.0,365,30.0,365.0,1,58,88,363,1.0,0
1,0,0,1.0,1,0,1,1,1,1,6.1,8.6,1,1.6,4,2.3,30.0,1125,30.0,1125.0,0,0,0,101,0.0,0
1,0,0,1.0,1,0,1,1,1,1,6.1,8.6,1,3.5,4,4.0,30.0,1125,30.0,1125.0,1,43,70,333,0.0,0
1,0,1,1.0,1,1,0,1,1,1,6.1,8.6,0,1.0,1,2.0,1.0,1125,2.9,62.5,1,56,83,358,8.0,0
0,0,0,1.0,1,0,0,1,1,1,1.0,1.0,0,1.0,1,2.3,30.0,365,30.0,1125.0,0,33,63,85,0.0,0
1,1,1,1.0,1,0,0,1,1,0,7.0,9.0,0,1.0,0,1.0,2.0,1125,2.0,1125.0,1,60,90,363,17.0,1
1,1,0,,1,1,1,1,1,1,7.0,9.0,0,1.0,2,3.0,30.0,1125,27.2,1125.0,0,36,66,341,1.0,0
1,0,1,1.0,1,1,0,1,1,1,6.1,8.6,0,1.0,1,1.0,1.0,1125,2.8,138.3,1,33,61,336,6.0,1
1,1,0,0.0,1,1,1,1,1,1,1.0,4.0,1,2.0,3,4.0,3.0,90,3.0,1125.0,1,31,31,124,18.0,2
1,1,1,1.0,1,0,0,1,1,0,1.0,1.0,1,2.0,2,3.0,2.0,1125,2.0,1125.0,0,31,48,224,39.0,3
1,1,1,1.0,1,0,0,1,1,0,7.0,9.0,0,1.0,1,1.0,2.0,730,2.0,730.0,1,53,83,355,26.0,0
1,1,1,0.0,1,1,0,1,1,1,1.0,1.0,0,2.1,2,2.6,3.0,31,3.0,1125.0,0,0,0,189,15.0,1
1,1,1,1.0,1,0,0,1,1,0,7.0,9.0,0,2.0,2,2.0,2.0,1125,2.0,1125.0,1,48,78,253,16.0,0
1,1,1,1.0,1,1,0,1,1,1,3.0,5.0,1,2.0,3,3.0,1.0,365,1.0,1125.0,1,36,64,326,39.0,3
0,0,0,1.0,1,1,0,1,1,1,1.0,1.0,0,1.0,1,1.0,30.0,90,30.0,1125.0,1,60,90,365,0.0,0
0,0,0,1.0,1,1,0,0,1,1,1.0,3.0,0,1.0,1,1.0,4.0,365,4.0,1125.0,1,60,90,365,0.0,0
1,1,1,1.0,1,1,0,1,1,0,1.0,1.0,1,1.5,2,3.0,3.0,28,3.0,28.0,1,55,85,253,19.0,2
1,1,1,,1,1,0,1,1,1,1.0,3.0,0,1.0,1,2.0,2.0,1125,2.0,1125.0,1,47,77,344,15.6,5
1,0,1,1.0,1,1,1,1,1,0,22.0,38.0,0,2.5,2,2.0,3.0,1125,5.1,1125.0,1,35,59,305,6.0,1
1,1,1,1.0,1,1,0,0,1,0,1.0,1.0,0,1.0,1,1.0,1.0,5,1.0,1125.0,0,0,0,127,43.0,2
1,1,1,1.0,1,1,0,1,1,0,3.0,4.0,0,2.0,2,2.0,30.0,1125,30.0,1125.0,1,35,35,139,1.0,0
1,1,1,1.0,1,1,0,1,1,0,1.0,1.0,1,2.5,3,2.0,30.0,1125,30.0,1125.0,1,55,85,360,7.0,1
1,1,0,1.0,1,1,0,1,1,0,2.0,2.0,1,2.0,3,3.0,3.0,30,3.0,30.0,1,44,74,329,8.0,0
0,0,0,1.0,1,1,0,1,1,0,2.0,3.0,0,1.0,1,1.0,1.0,30,1.4,1125.0,0,28,53,121,15.6,4
1,1,1,,1,1,0,1,1,1,32.0,46.0,0,1.0,2,2.0,2.0,365,3.0,1125.0,1,46,76,348,15.0,1
1,1,1,1.0,1,1,0,1,1,1,21.0,25.0,0,2.5,2,2.0,2.0,1125,30.0,1125.0,0,7,37,309,20.0,1
1,1,1,1.0,1,0,1,1,1,0,2.0,3.0,1,2.5,3,2.0,2.0,1125,2.0,1125.0,1,39,69,152,18.0,2
1,1,0,1.0,1,1,1,1,1,1,3.0,3.0,1,2.5,3,3.0,2.0,1125,13.8,1125.0,0,29,59,330,13.0,3
1,1,1,,1,1,0,1,1,0,1.0,1.0,1,3.0,3,3.0,30.0,365,30.0,365.0,1,60,90,286,4.0,0
1,1,0,1.0,1,1,1,1,1,0,1.0,1.0,1,2.0,3,3.0,30.0,365,30.0,365.0,1,59,89,364,1.0,0
1,0,1,,1,1,0,1,1,1,6.1,8.6,1,2.5,3,4.0,30.0,365,30.0,1125.0,0,19,49,324,0.0,0
1,1,1,1.0,1,1,1,1,1,0,3.0,3.0,0,2.5,2,2.0,2.0,1125,2.0,1125.0,0,3,3,51,14.0,0
0,0,0,1.0,1,1,1,1,1,0,1.0,1.0,1,2.0,3,3.0,2.0,14,2.0,14.0,0,0,0,148,7.0,0
1,1,0,1.0,1,1,0,1,1,0,1.0,1.0,1,2.5,3,2.0,30.0,90,30.0,90.0,1,59,89,234,2.0,0
0,0,0,,1,1,0,1,1,1,1.0,2.0,0,1.0,2,4.0,30.0,365,30.0,365.0,0,0,0,93,0.0,0
1,1,1,1.0,1,1,0,1,1,1,2.0,2.0,1,1.0,2,3.0,1.0,30,1.0,1125.0,1,41,71,71,15.6,4
1,1,1,1.0,1,1,0,1,1,0,1.0,2.0,0,1.0,2,2.0,1.0,365,1.0,1125.0,1,35,60,330,43.0,3
1,1,1,1.0,1,1,0,1,1,0,1.0,1.0,0,1.0,1,3.0,3.0,1125,3.0,1125.0,0,11,11,135,24.0,0
1,1,1,1.0,1,1,0,1,1,1,3.0,5.0,1,2.0,3,3.0,1.0,365,1.0,1125.0,1,38,68,327,14.0,2
1,1,0,1.0,1,1,0,1,1,1,1.0,1.0,1,2.5,3,4.0,2.0,31,2.0,1125.0,0,19,35,101,39.0,5
1,1,1,1.0,1,1,1,1,1,0,1.0,1.0,1,2.0,4,4.0,3.0,45,3.0,45.0,0,31,61,301,10.0,2
1,1,1,1.0,1,0,1,1,1,1,1.0,1.0,1,1.0,2,3.0,2.0,365,2.0,1125.0,1,33,63,331,27.0,3
1,1,1,1.0,1,1,0,1,1,0,2.0,2.0,1,1.0,1,3.0,2.0,30,2.0,1125.0,1,30,30,30,20.0,1
1,1,1,1.0,1,1,1,1,1,0,1.0,1.0,1,2.5,3,3.0,3.0,14,3.0,14.0,0,26,56,323,10.0,0
1,1,1,1.0,1,1,1,1,1,1,1.0,1.0,1,2.0,3,3.0,3.0,60,3.0,1125.0,0,27,57,313,28.0,1
1,1,0,1.0,1,1,0,0,1,0,9.0,14.0,0,1.5,1,1.0,27.0,120,27.0,1125.0,0,29,29,66,1.0,0
1,1,0,1.0,1,1,0,0,1,0,9.0,14.0,0,1.5,1,1.0,28.0,90,28.0,1125.0,1,49,60,150,2.0,0
0,0,0,1.0,1,0,0,1,1,0,1.0,1.0,0,1.0,2,2.0,2.0,365,2.0,365.0,1,57,87,356,38.0,3
1,1,0,,1,1,0,1,1,0,18.0,20.0,1,2.0,2,3.0,2.0,1125,2.0,1125.0,1,41,60,331,22.0,2
1,1,1,1.0,1,1,0,1,1,0,2.0,2.0,0,1.0,1,2.0,2.0,32,2.0,1125.0,0,0,0,97,20.0,2
0,0,0,1.0,1,1,0,1,1,0,1.0,1.0,0,1.0,1,1.0,30.0,365,30.0,1125.0,1,53,83,173,1.0,0
1,1,1,1.0,1,1,0,1,1,1,1.0,1.0,0,1.5,2,3.0,3.0,365,3.3,1125.0,0,30,60,60,33.0,4
1,1,1,1.0,1,1,1,1,1,1,2.0,6.0,1,2.5,3,3.0,30.0,365,30.0,365.0,0,37,60,60,0.0,0
1,0,1,1.0,1,1,0,1,1,1,6.1,8.6,1,3.5,3,3.0,1.0,1125,2.8,120.7,1,43,64,316,9.0,0
1,1,1,1.0,1,1,1,1,1,1,6.0,7.0,1,2.1,4,2.6,2.0,365,2.0,365.0,0,0,0,0,9.0,0
1,1,1,1.0,1,0,0,1,1,0,1.0,2.0,0,1.0,2,2.0,3.0,1125,2.4,1125.0,0,16,39,129,19.0,0
1,1,1,,1,1,0,1,1,0,1.0,3.0,0,1.0,1,2.0,2.0,730,2.0,730.0,0,32,59,315,49.0,2
1,1,1,1.0,1,1,0,1,1,1,1.0,1.0,1,2.0,2,3.0,1.0,365,4.1,1125.0,1,53,83,352,17.0,2
1,1,1,1.0,1,1,0,1,1,0,1.0,1.0,0,1.0,1,2.0,2.0,1125,2.0,1125.0,1,42,72,344,49.0,0
1,1,1,1.0,1,0,0,1,1,0,1.0,1.0,0,1.0,1,1.0,2.0,120,2.0,1125.0,1,42,64,154,45.0,2
0,1,1,0.0,1,1,0,1,1,0,2.0,3.0,1,2.5,2,3.0,30.0,1125,30.0,1125.0,1,55,56,146,1.0,1
1,1,1,1.0,1,1,0,1,1,1,1.0,1.0,0,1.0,1,1.0,1.0,365,1.3,1125.0,1,51,81,356,45.0,1
1,1,1,1.0,1,1,1,1,1,1,2.0,2.0,1,1.0,2,3.0,1.0,365,1.0,365.0,1,40,70,340,55.0,5
1,1,1,1.0,1,1,1,1,1,1,2.0,2.0,1,2.0,5,2.3,1.0,365,1.0,365.0,1,49,77,332,38.0,4
1,1,0,1.0,1,1,0,1,1,0,1.0,1.0,1,1.0,3,3.0,1.0,1125,1.0,1125.0,1,33,62,331,18.0,0
1,1,1,1.0,1,1,0,1,1,1,4.0,4.0,0,1.0,1,1.0,1.0,365,1.0,1125.0,0,31,46,300,61.0,5
1,1,1,1.0,1,1,1,1,1,0,1.0,1.0,1,2.0,3,4.0,2.0,28,2.0,1125.0,1,36,66,318,29.0,1
1,1,1,1.0,1,1,0,0,1,0,1.0,4.0,0,1.0,1,1.0,1.0,1125,1.1,1125.0,1,43,70,88,15.6,4
1,0,1,1.0,1,1,0,1,1,1,6.1,8.6,0,1.0,1,1.0,1.0,1125,3.0,48.5,1,59,89,364,10.0,1
1,1,0,1.0,1,1,1,1,1,1,1.0,1.0,1,2.0,3,2.3,3.0,1125,1.0,1125.0,1,39,69,341,28.0,1
0,1,0,1.0,1,1,1,1,1,0,1.0,2.0,0,1.0,1,1.0,30.0,365,30.0,365.0,0,32,62,248,1.0,1
1,1,0,1.0,1,1,0,1,1,1,6.1,8.6,1,1.0,2,2.0,2.0,1125,2.7,71.1,1,45,75,350,15.0,1
1,1,0,1.0,1,1,0,1,1,1,10.0,12.0,1,2.1,3,2.6,3.0,28,3.2,1125.0,0,11,11,11,17.0,0
1,1,0,,1,1,0,1,1,0,18.0,20.0,1,2.0,2,4.0,30.0,365,30.0,1125.0,1,60,90,365,0.0,0
1,0,1,0.0,1,0,0,1,1,1,1.0,1.0,1,2.5,3,4.0,2.0,1125,2.0,1125.0,0,27,57,323,38.0,2
1,1,1,,1,1,1,1,1,0,1.0,1.0,0,2.0,2,2.0,2.0,30,2.0,1125.0,0,15,15,109,12.0,1
1,0,0,1.0,1,0,0,1,1,1,6.1,8.6,0,1.0,1,1.0,2.0,1125,2.1,1125.0,0,19,26,288,12.0,0
1,1,1,1.0,1,1,0,1,1,1,3.0,4.0,0,1.0,2,2.0,28.0,60,4.8,1125.0,0,39,69,159,18.0,1
1,1,0,1.0,1,0,0,1,1,0,2.0,2.0,1,2.0,2,3.0,1.0,730,2.0,1125.0,1,43,73,343,19.0,1
1,1,1,1.0,1,1,0,1,1,0,1.0,1.0,1,2.5,3,4.0,1.0,1125,1.0,1125.0,0,28,48,258,65.0,1
1,1,0,1.0,1,1,1,1,1,1,6.1,8.6,0,1.0,1,1.0,2.0,1125,2.7,93.9,1,48,72,347,23.0,4
1,0,1,1.0,1,1,0,1,1,1,6.1,8.6,0,2.0,2,3.0,1.0,1125,2.6,225.1,1,37,67,294,19.0,2
1,1,1,1.0,1,1,0,1,1,1,15.0,28.0,0,1.0,1,2.0,2.0,365,2.0,365.0,1,57,87,358,48.0,5
1,1,1,1.0,1,1,0,1,1,0,9.0,13.0,0,1.0,0,1.0,2.0,365,2.0,1125.0,1,46,70,70,47.0,2
1,0,1,,1,1,0,1,1,1,6.1,8.6,0,1.0,1,2.0,1.0,365,2.2,1125.0,1,46,76,351,7.0,0
1,1,1,,1,1,0,1,1,1,32.0,46.0,1,2.0,2,3.0,3.0,365,2.9,1125.0,1,57,85,85,13.0,0
1,1,1,1.0,1,1,0,1,1,1,1.0,1.0,1,1.5,2,2.0,2.0,365,2.0,1125.0,0,12,42,314,13.0,0
1,1,1,1.0,1,1,0,0,1,0,1.0,1.0,0,1.0,1,1.0,1.0,27,1.0,1125.0,0,5,5,5,27.0,1
1,1,1,,1,1,0,1,1,0,17.0,19.0,1,2.0,3,3.0,2.0,1125,1.7,1125.0,0,38,68,339,10.0,2
1,1,1,1.0,1,1,0,1,1,0,1.0,1.0,0,1.0,1,1.0,3.0,30,3.0,1125.0,0,6,6,6,34.0,1
1,1,1,1.0,1,1,0,1,1,1,1.0,1.0,0,1.0,2,2.0,2.0,30,3.2,1125.0,0,44,64,150,37.0,3
1,1,1,1.0,1,1,1,1,1,0,6.0,11.0,0,1.0,2,2.0,2.0,14,2.1,14.0,0,38,38,38,17.0,2
0,0,0,0.0,1,1,0,1,1,0,2.0,2.0,0,1.0,1,2.0,2.0,30,2.0,1125.0,1,60,75,239,23.0,3
1,1,0,1.0,1,1,0,0,1,0,4.0,4.0,0,2.1,1,2.6,2.0,90,2.0,1125.0,1,33,33,33,10.0,2
1,1,0,1.0,1,1,0,1,1,0,4.0,4.0,1,2.1,5,2.6,5.0,90,5.0,1125.0,0,0,0,0,0.0,0
1,1,1,1.0,1,1,1,1,1,1,10.0,10.0,1,1.5,3,4.0,2.0,80,2.0,1125.0,1,42,68,326,49.0,4
1,1,0,1.0,1,1,1,1,1,0,2.0,3.0,0,2.5,2,2.0,28.0,185,28.0,185.0,1,59,89,269,2.0,1
1,0,1,1.0,1,1,1,1,1,1,6.1,8.6,1,1.0,3,3.0,1.0,1125,1.7,710.3,1,36,63,137,9.0,1
1,1,1,1.0,1,1,0,1,1,1,1.0,1.0,0,1.0,1,1.0,2.0,365,2.0,365.0,0,26,47,256,16.0,3
0,0,0,1.0,1,0,1,1,1,1,1.0,1.0,1,3.5,5,2.3,9.4,365,10.2,1125.0,1,60,90,365,0.0,0
1,1,0,1.0,1,1,0,1,1,0,2.0,3.0,0,2.0,2,2.0,30.0,60,30.0,60.0,1,60,90,365,0.0,0
1,1,1,1.0,1,1,1,1,1,0,1.0,1.0,1,2.0,3,3.0,2.0,1125,2.0,1125.0,1,27,37,98,61.0,2
1,1,0,1.0,1,1,1,1,1,0,11.0,16.0,1,2.0,3,4.0,4.0,365,4.0,365.0,1,60,90,256,5.0,0
1,1,1,1.0,1,1,1,1,1,0,15.0,21.0,1,2.0,3,3.0,29.0,60,29.0,1125.0,0,0,0,172,8.0,0
1,1,0,1.0,1,1,0,1,1,0,11.0,16.0,1,1.0,3,4.0,30.0,365,30.0,365.0,0,0,7,187,1.0,0
1,1,1,1.0,1,0,0,1,1,1,1.0,1.0,0,1.0,1,2.0,3.0,30,3.0,1125.0,1,43,73,340,22.0,1
1,1,1,1.0,1,1,1,1,1,1,15.0,28.0,1,2.1,4,2.6,30.0,365,30.0,365.0,0,0,0,0,3.0,0
1,1,1,1.0,1,1,1,1,1,0,1.0,1.0,1,2.5,3,3.0,29.0,180,29.0,180.0,0,0,6,127,5.0,1
1,1,1,1.0,1,1,0,1,1,0,1.0,1.0,0,1.0,1,1.0,1.0,10,1.0,10.0,1,46,71,161,15.6,3
1,1,1,1.0,1,1,0,1,1,1,1.0,1.0,1,1.0,3,4.0,1.0,90,1.0,1125.0,1,37,67,151,28.0,4
1,0,1,,1,1,1,1,1,1,3.0,6.0,0,2.0,2,2.0,3.0,365,3.0,365.0,1,48,78,345,16.0,1
1,1,0,1.0,1,0,0,1,1,0,5.0,6.0,0,1.0,1,1.0,2.0,1125,2.0,1125.0,1,38,38,38,47.0,3
0,0,0,0.0,1,1,1,1,1,0,1.0,1.0,0,2.1,2,2.6,30.0,365,30.0,365.0,1,59,89,364,0.0,0
1,1,0,1.0,1,1,0,0,1,0,4.0,4.0,0,2.1,1,2.6,2.0,90,2.0,1125.0,1,39,69,112,13.0,1
1,1,0,1.0,1,1,0,0,1,0,4.0,4.0,0,2.1,2,2.6,2.0,90,2.0,1125.0,1,37,61,61,3.0,0
0,1,1,1.0,1,0,1,1,1,0,1.0,1.0,1,2.0,4,4.0,3.0,60,3.0,60.0,0,12,42,289,20.0,1
1,1,0,,1,1,0,1,1,0,18.0,20.0,1,2.0,2,3.0,1.0,365,2.0,1125.0,1,46,76,347,44.0,4
1,1,0,,1,1,0,1,1,0,18.0,20.0,1,2.0,2,4.0,1.0,365,2.0,1125.0,0,37,62,328,44.0,2
1,1,0,,1,1,0,1,1,0,18.0,20.0,1,2.0,2,3.0,1.0,365,2.0,1125.0,1,48,75,346,35.0,4
1,1,0,,1,1,0,1,1,0,18.0,20.0,1,2.0,2,4.0,1.0,365,2.0,1125.0,0,28,58,326,53.0,1
1,1,0,1.0,1,1,0,1,1,0,1.0,1.0,1,1.0,1,3.0,3.0,365,3.0,365.0,1,49,79,354,6.0,1
1,1,1,1.0,1,0,1,1,1,1,3.0,3.0,1,2.5,3,4.0,28.0,365,28.0,1125.0,0,0,0,94,7.0,0
1,1,1,1.0,1,1,0,0,1,0,2.0,2.0,0,1.0,1,1.0,1.0,7,1.0,7.0,0,0,0,131,28.0,0
1,1,0,1.0,1,1,1,1,1,0,17.0,17.0,1,2.5,3,2.3,1.0,365,2.0,1125.0,0,20,37,286,37.0,1
1,1,0,1.0,1,1,1,1,1,0,17.0,17.0,1,2.5,3,2.3,1.0,365,2.0,1125.0,0,29,43,287,27.0,0
1,1,0,1.0,1,1,1,1,1,0,17.0,17.0,0,1.6,6,2.3,1.0,365,2.5,1125.0,0,16,30,274,16.0,2
1,0,1,,1,1,1,1,1,1,6.1,8.6,1,2.5,4,2.3,1.0,365,2.6,1125.0,0,31,61,333,2.0,0
